Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
ISS: 3DMM,ISS: MT-1,437,1000000,120.83909624854601,9.99999000001e-07,1.1499988500011501e-06
ISS: 3DMM,Indoor Materials,719,1000000,992.5302605371279,9.99999000001e-07,1.1499988500011501e-06
ISS: 3DMM,Isolation Dorms: COVID-19,728,1000000,133.18618709574804,9.99999000001e-07,1.1499988500011501e-06
ISS: 3DMM,Office: 3D map,516,1000000,211.32335638989517,9.99999000001e-07,1.1499988500011501e-06
ISS: 3DMM,Office: geographical gradient,2203,1000000,1498.9921885123958,9.99999000001e-07,1.1499988500011501e-06
ISS: 3DMM,Spacecraft Assembly Facility,451,1000000,304.1420942628812,9.99999000001e-07,1.1499988500011501e-06
ISS: MT-1,Indoor Materials,372,1000000,14.657157069574895,4.8999951000049e-05,5.343529139229481e-05
ISS: MT-1,Isolation Dorms: COVID-19,381,1000000,14.962216682572436,1.5999984000016e-05,1.7599982400017603e-05
ISS: MT-1,Office: 3D map,169,1000000,24.580824505548268,9.99999000001e-07,1.1499988500011501e-06
ISS: MT-1,Office: geographical gradient,1856,1000000,12.699573880059415,0.00035999964000036,0.0003875740805110259
ISS: MT-1,Spacecraft Assembly Facility,104,1000000,17.939025207451706,9.99999000001e-07,1.1499988500011501e-06
Indoor Materials,Isolation Dorms: COVID-19,663,1000000,180.8153283576397,9.99999000001e-07,1.1499988500011501e-06
Indoor Materials,Office: 3D map,451,1000000,122.19440478215935,9.99999000001e-07,1.1499988500011501e-06
Indoor Materials,Office: geographical gradient,2138,1000000,14.0381097520789,3.999996000004e-05,4.3809480000043815e-05
Indoor Materials,Spacecraft Assembly Facility,386,1000000,6.1687710876657285,0.00710999289000711,0.00737224672611393
Isolation Dorms: COVID-19,Office: 3D map,460,1000000,39.0456984439403,9.99999000001e-07,1.1499988500011501e-06
Isolation Dorms: COVID-19,Office: geographical gradient,2147,1000000,359.69505904946146,9.99999000001e-07,1.1499988500011501e-06
Isolation Dorms: COVID-19,Spacecraft Assembly Facility,395,1000000,53.36267688815133,9.99999000001e-07,1.1499988500011501e-06
Office: 3D map,Office: geographical gradient,1935,1000000,190.36149027477464,9.99999000001e-07,1.1499988500011501e-06
Office: 3D map,Spacecraft Assembly Facility,183,1000000,40.51793157190772,9.99999000001e-07,1.1499988500011501e-06
Office: geographical gradient,Spacecraft Assembly Facility,1870,1000000,0.8420176678421208,0.38271861728138273,0.38271861728138273
